learning_language,from_language,points,skills_learned,total_lessons,days_active,last_active,prior_proficiency,subscribed
la,en,0,0,0,0,,,
zs,en,15,0,1,1,2017-12-26 02:53:26,,
ru,en,354,0,37,10,2017-05-14 12:00:00,,
en,en,115,0,1,1,2024-05-28 01:06:36,,
it,en,40,,,,,,
es,en,3843,,,,,,
sv,en,10,0,1,1,2019-01-22 02:55:49,,
de,en,26,,,,,,
pt,en,1460,,,,,,
eo,en,10,0,1,1,2015-08-31 21:16:44,,
sw,en,0,0,0,0,,,
ja,en,3531,0,222,49,2024-06-12 10:55:23,,
fr,en,26055,,,,,,
dn,en,0,,,,,,
ro,en,0,0,0,0,,,
ko,en,0,0,0,0,,,
