leaderboard,timestamp,tier,score
leagues,2019-12-05T18:24:51Z,0,1332.0
leagues,2019-12-09T00:16:44Z,1,700.0
leagues,2019-12-16T13:53:12Z,2,1050.0
leagues,2019-12-23T00:27:43Z,3,120.0
leagues,2019-12-30T02:31:42Z,3,220.0
leagues,2020-01-06T00:03:33Z,3,84.0
leagues,2020-01-31T03:55:02Z,2,15.0
leagues,2020-09-16T22:05:08Z,2,15.0
leagues,2023-10-27T18:22:41Z,2,14.0
leagues,2024-05-04T21:49:46Z,1,1073.0
leagues,2024-05-05T22:00:32Z,2,4819.0
leagues,2024-05-13T00:25:19Z,3,4759.0
leagues,2024-05-20T02:39:16Z,4,3969.0
leagues,2024-05-26T22:00:38Z,5,2206.0
leagues,2024-06-03T01:57:40Z,5,2553.0
leagues,2024-06-09T23:35:16Z,6,4197.0
leagues,2024-06-17T15:11:39Z,7,1946.0
